,planted_on,stems,variety,expected_yield
0,2021-02-15,3480,chelsea,2644.8
1,2021-02-15,3480,chelsea,2644.8
2,2021-02-15,3480,chelsea,2644.8
3,2021-02-17,3480,chelsea,2644.8
4,2021-02-17,3480,chelsea,2644.8
