,Informe No.,max(v.fechaanalisis),identificacioncliente,ubicacion,nombrepunto,prefijo,Muestra No. ,pH,Al,MO,CO,Ca,Mg,K,CICE,CE,P,Nitrato,Amonio,Fe,Mn,Cu,Zn,B
334,1723,2022-06-16 05:00:00,Bl 32A Cam 1-46,San Miguel ,Bochica ,SF,7839,"7,2",N.A.,"12,75","7,40","34,11","6,20","1,64","41,95","1,90","249,57","144,5","13,83","71,24","7,22","10,73","13,43","3,55"
335,1723,2022-06-16 05:00:00,Bl 32B Ca 47-78,San Miguel ,Bochica ,SF,7840,"7,4",N.A.,"13,08","7,58","39,34","9,23","1,56","50,13","3,50","148,90","284,7","12,55","64,83","6,85","7,37","11,73","3,62"
336,1723,2022-06-16 05:00:00,Bl 33AB Ca 1-98,San Miguel ,Bochica ,SF,7841,"7,2",N.A.,"11,96","6,94","38,66","8,45","2,07","49,18","4,15","215,22","454,4","16,45","59,03","9,15","9,73","12,93","3,68"
337,1759,2022-07-01 05:00:00,B11AB Cam 1-266,San Miguel,Bochica ,SF,7975,"7,4",N.A.,"14,38","8,34","39,29","6,91","1,33","47,53","4,50","247,33","246,3","16,82","43,01","5,63","5,20","6,84","4,20"
338,1759,2022-07-01 05:00:00,B12AB Cam 1-169,San Miguel,Bochica ,SF,7976,"7,3",N.A.,"11,90","6,91","35,29","7,33","1,64","44,26","3,78","284,57","155,6","16,87","44,88","7,34","11,14","9,65","4,75"
339,1759,2022-07-01 05:00:00,B15AB Cam 1-264,San Miguel,Bochica ,SF,7977,"7,5",N.A.,"15,68","9,10","39,18","7,20","1,77","48,15","4,10","268,69","226,9","15,10","49,80","6,13","13,71","10,65","4,86"
340,1759,2022-07-01 05:00:00,B15C Ca 265-300,San Miguel,Bochica ,SF,7978,"7,1",N.A.,"15,08","8,74","28,97","5,85","2,08","36,90","4,00","237,99","240,5","19,45","52,52","6,52","10,42","9,47","3,93"
341,1759,2022-07-01 05:00:00,B17A Cama 1-120,San Miguel,Bochica ,SF,7979,"7,4",N.A.,"14,70","8,53","38,18","6,36","1,05","45,59","2,95","228,73","136,1","22,39","51,65","6,58","10,48","15,62","5,64"
342,1759,2022-07-01 05:00:00,B17B Ca 121-180,San Miguel,Bochica ,SF,7980,"7,3",N.A.,"14,07","8,16","36,33","6,16","2,06","44,55","2,40","264,95","127,6","18,15","50,26","6,63","8,06","13,63","4,37"
343,1759,2022-07-01 05:00:00,B 18 Cama 1-24,San Miguel,Bochica ,SF,7981,"6,9",N.A.,"10,88","6,31","27,46","5,16","0,82","33,44","2,58","212,34","329,6","15,30","51,50","7,42","7,97","11,22","5,14"
344,1759,2022-07-01 05:00:00,B27C Ca 225-266,San Miguel,Bochica ,SF,7982,"7,0",N.A.,"11,00","6,38","31,15","4,78","0,96","36,89","3,40","193,19","405,2","14,45","45,30","4,31","4,63","5,26","2,30"
345,1760,2022-07-01 05:00:00,Bl 20 Cam 1-176,San Miguel,San Sebastian,SF,7983,"5,4","0,3","15,47","8,98","6,18","1,74","0,72","8,94","1,18","22,31","172,6","56,18","153,80","5,67","1,35","2,10","0,32"
346,1884,2022-08-05 05:00:00,Bl 4 Ca 1 A 232,Cimarronas ,Padua ,SF,8338,"6,4",N.A.,"17,28","10,02","32,21","8,07","1,62","41,90","1,93","310,12","285,6","55,38","86,26","7,38","6,15","7,69","2,51"
347,1884,2022-08-05 05:00:00,Bl 5 Ca 1 A 148,Cimarronas ,Padua ,SF,8339,"6,1",N.A.,"17,40","10,09","23,41","6,98","1,75","32,14","1,33","225,57","171,2","40,12","103,54","7,56","5,47","6,07","2,35"
348,1885,2022-08-05 05:00:00,Bl 1 Sem 29 General,El Tablazo ,Alhambra ,SF,8340,"7,2",N.A.,"8,85","5,13","24,92","5,88","1,12","31,92","0,80","352,44","76,6","15,51","90,41","5,83","6,89","6,73","2,73"
349,1921,2022-08-11 05:00:00,Bl19 Cama 1-208,San Miguel,San Sebastian,SF,8603,"5,3","0,1","20,83","12,08","15,69","2,92","0,38","19,09","2,80","76,05","403,8","19,82","125,13","5,73","3,02","7,54","1,12"
350,1921,2022-08-11 05:00:00,Bl22 Cam 50-288,San Miguel,San Sebastian,SF,8604,"6,0",N.A.,"14,66","8,51","17,38","2,14","0,68","20,20","1,56","85,64","171,1","13,93","136,05","3,51","3,26","3,02","0,81"
351,1921,2022-08-11 05:00:00,Bl21 Cam 20-256,San Miguel,San Sebastian,SF,8605,"5,7",N.A.,"18,74","10,87","16,63","2,52","0,53","19,68","1,75","86,22","208,4","23,73","160,74","3,69","2,87","4,34","0,83"
352,1922,2022-08-11 05:00:00,Bl12 Cama 1-96,Cimarronas ,Padua ,SF,8606,"6,5",N.A.,"16,94","9,83","34,80","6,20","1,18","42,18","3,52","222,35","254,5","17,33","67,24","2,87","3,28","5,15","2,05"
353,1922,2022-08-11 05:00:00,Bl13 Cama 1-49,Cimarronas ,Padua ,SF,8607,"6,5",N.A.,"15,13","8,78","32,58","5,87","0,92","39,37","3,10","248,71","328,0","18,16","79,52","4,18","3,73","5,78","2,32"
354,1923,2022-08-11 05:00:00,Bl 1 Cama 1-244,Gualanday ,Valley,SF,8608,"7,3",N.A.,"16,78","9,73","42,34","5,72","0,75","48,81","1,95","237,86","97,4","12,49","41,96","2,88","4,40","4,97","3,59"
355,1924,2022-08-11 05:00:00,Bl 2 Sem 30 General,El Tablazo,Alhambra ,SF,8609,"7,4",N.A.,"8,63","5,01","24,77","4,44","0,86","30,07","2,70","306,52","70,9","15,53","62,44","5,05","8,03","4,38","2,80"
356,1946,2022-08-18 05:00:00,Bl 4 Sem 31 General,El Tablazo,Alhambra ,SF,8681,"7,0",N.A.,"8,09","4,69","19,82","4,48","0,49","24,79","1,90","355,29","119,8","17,84","96,74","6,09","8,73","6,42","3,24"
357,1971,2022-08-25 05:00:00,Bl 6 Sem 32 General,El Tablazo,Alhambra ,SF,8807,"6,6",N.A.,"14,90","8,64","28,83","5,51","0,62","34,96","1,48","206,78","190,0","12,96","133,81","5,26","5,85","9,49","2,55"
358,1972,2022-08-25 05:00:00,Bl 04 Cam 1 a 84,Guamito ,Capri ,SF,8808,"5,6",N.A.,"19,27","11,18","12,10","2,29","0,89","15,28","0,92","91,16","255,4","19,73","190,86","5,56","3,26","9,72","0,75"
359,1993,2022-09-01 05:00:00,Bl 2 Cama 1-342,Gualanday ,Valley ,SF,8851,"7,1",N.A.,"14,77","8,57","39,77",6.83,"0,49","47,09","1,17","176,50","212,6","11,53","50,26","3,82","5,02","6,30","3,73"
360,1994,2022-09-01 05:00:00,Bl 8 Sem 33 General,El Tablazo,Alhambra ,SF,8852,"6,3",N.A.,"18,57","10,77","26,62",5.44,"0,62","32,68","1,23","188,08","218,4","11,69","136,29","2,69","3,61","7,38","2,72"
361,2026,2022-09-09 05:00:00,Bl 23B Cama 121,San Miguel,Bochica,SF,8957,"7,4",N.A.,"15,10","8,76","39,69","8,05","1,51","49,25","2,27","94,85","240,9","11,55","43,85","4,36","6,49","14,10","4,75"
362,2027,2022-09-09 05:00:00,Bl 5 Cama 1-224,San Miguel,San Sebastian,SF,8958,"5,9",N.A.,"20,11","11,66","22,72","4,89","0,58","28,19","1,25","109,06","554,0","24,48","78,25","2,67","3,05","11,16","1,08"
363,2027,2022-09-09 05:00:00,Bl 3 Cama 1-224,San Miguel,San Sebastian,SF,8959,"5,7",N.A.,"21,30","12,36","21,63","4,53","0,72","26,88","2,23","121,17","605,6","28,81","69,88","3,06","3,42","5,18","1,40"
364,2028,2022-09-09 05:00:00,Bl10 Sem 34 Gen,El Tablazo,Alhambra ,SF,8960,"6,3",N.A.,"19,39","11,25","21,31","5,26","0,80","27,37","1,12","245,86","223,1","17,74","135,24","2,69","3,30","8,51","1,82"
365,2059,2022-09-15 05:00:00,Bl 09 Sem 35 General,El Tablazo,Alhambra ,SF,9122,"6,4",N.A.,"15,52","9,00","23,55","5,70","0,39","29,64","1,24","185,95","277,0","14,73","138,25","2,37","3,89","6,29","1,47"
